transaction_id,customer_id,merchant_id,transaction_datetime,transaction_amount,payment_method,channel,device_type,merchant_category,customer_location,transaction_status,failure_reason,processor_response_ms,is_fraud,is_chargeback
TXN00039898,CUST003233,MERCH00033,2024-06-13 10:04:03,11.9,Debit Card,Mobile App,POS Terminal,Electronics,AZ,Approved,None,279,0,0
TXN00032985,CUST008822,MERCH00761,2024-01-03 00:45:58,102.32,Debit Card,Online,Desktop,Subscription,OH,Approved,None,321,0,0
TXN00033817,CUST000356,MERCH00548,2024-05-16 16:04:55,25.54,Credit Card,Mobile App,Desktop,Grocery,IL,Approved,None,260,0,0
TXN00021130,CUST002371,MERCH00546,2024-11-15 09:40:02,43.35,ACH,Mobile App,Mobile,Fuel,CO,Approved,None,530,0,0
TXN00089670,CUST000668,MERCH00057,2024-07-26 19:11:05,17.56,Credit Card,Mobile App,Desktop,Healthcare,FL,Approved,None,80,0,0
TXN00000579,CUST004979,MERCH00115,2024-02-06 23:47:03,29.91,Debit Card,In-Store,Mobile,Subscription,CO,Approved,None,266,0,0
TXN00053362,CUST011672,MERCH00304,2024-09-16 06:29:16,66.47,Credit Card,Mobile App,Tablet,Grocery,MA,Approved,None,655,0,0
TXN00069233,CUST000533,MERCH00025,2024-01-16 23:55:32,35.25,Credit Card,Mobile App,Mobile,Fuel,FL,Approved,None,351,0,0
TXN00039220,CUST007708,MERCH00750,2024-09-11 16:18:56,56.12,Credit Card,Online,Mobile,Travel,TX,Approved,None,419,0,0
TXN00000981,CUST003698,MERCH00625,2024-03-31 23:53:29,123.45,Credit Card,In-Store,Mobile,Financial Services,PA,Approved,None,258,0,0
TXN00023746,CUST004353,MERCH00357,2024-11-25 19:44:33,56.68,Credit Card,Online,Mobile,Subscription,FL,Approved,None,429,0,0
TXN00003201,CUST000257,MERCH00600,2024-05-05 22:42:39,65.19,Debit Card,In-Store,POS Terminal,Electronics,OH,Approved,None,636,0,0
TXN00039396,CUST004654,MERCH00591,2024-12-18 15:57:50,6.37,Credit Card,Online,POS Terminal,Healthcare,AZ,Approved,None,947,0,0
TXN00098419,CUST000618,MERCH00383,2024-04-26 05:32:14,18.91,ACH,In-Store,Desktop,Entertainment,OR,Approved,None,80,0,0
TXN00027559,CUST003710,MERCH00612,2024-08-31 04:50:37,10.63,Debit Card,Online,Desktop,Electronics,CO,Approved,None,356,1,0
TXN00036100,CUST009795,MERCH00071,2024-10-28 09:47:45,33.47,ACH,Mobile App,Desktop,Electronics,TX,Failed,Insufficient Funds,470,0,0
TXN00046646,CUST004247,MERCH00077,2024-05-24 21:42:12,13.21,Credit Card,Mobile App,Mobile,Healthcare,WA,Approved,None,793,0,0
TXN00055974,CUST011226,MERCH00335,2024-05-22 12:43:46,16.86,Debit Card,Online,Mobile,Subscription,OH,Approved,None,382,0,0
TXN00092612,CUST001051,MERCH00391,2024-09-08 15:01:05,38.87,ACH,Online,Tablet,Entertainment,OH,Approved,None,892,0,0
TXN00001573,CUST011811,MERCH00284,2024-09-30 07:00:57,39.21,ACH,In-Store,Desktop,Restaurant,NC,Approved,None,327,0,0
TXN00004152,CUST004263,MERCH00570,2024-05-28 17:11:09,19.88,Credit Card,Online,POS Terminal,Fuel,FL,Approved,None,341,0,0
TXN00095254,CUST006471,MERCH00622,2024-09-12 17:02:26,58.92,Debit Card,In-Store,Mobile,Retail,OR,Failed,Expired Card,406,0,0
TXN00027268,CUST003488,MERCH00185,2024-08-08 06:18:07,22.26,ACH,Online,Mobile,Retail,NC,Approved,None,319,0,0
TXN00091260,CUST001248,MERCH00010,2024-07-11 06:30:44,8.15,Digital Wallet,Mobile App,Mobile,Grocery,PA,Approved,None,652,0,0
TXN00061561,CUST011797,MERCH00434,2024-02-27 13:33:48,209.22,Debit Card,In-Store,POS Terminal,Retail,NV,Approved,None,313,0,0
TXN00024341,CUST009706,MERCH00540,2024-08-29 10:46:00,82.3,ACH,In-Store,Desktop,Grocery,OH,Approved,None,307,0,0
TXN00017607,CUST011495,MERCH00464,2024-12-11 13:29:25,41.26,Credit Card,Mobile App,Mobile,Subscription,NC,Approved,None,379,0,0
TXN00088831,CUST000453,MERCH00771,2024-12-17 05:07:55,74.86,Credit Card,Online,Mobile,Healthcare,TX,Approved,None,250,0,0
TXN00037710,CUST000835,MERCH00151,2024-06-14 14:24:24,101.91,Debit Card,Online,POS Terminal,Fuel,NV,Approved,None,554,0,0
TXN00057388,CUST000221,MERCH00763,2024-12-23 16:55:12,23.3,Credit Card,Online,Mobile,Retail,OR,Approved,None,476,0,0
TXN00016518,CUST006572,MERCH00610,2024-06-27 08:07:32,160.27,Digital Wallet,In-Store,POS Terminal,Electronics,OH,Approved,None,641,1,1
TXN00014645,CUST010956,MERCH00510,2024-07-23 22:32:46,38.64,ACH,Online,POS Terminal,Restaurant,WA,Approved,None,686,0,0
TXN00032945,CUST004746,MERCH00616,2024-09-03 21:36:04,22.45,Credit Card,Online,Desktop,Grocery,OH,Approved,None,404,0,0
TXN00059909,CUST003043,MERCH00094,2024-05-01 09:11:04,67.71,Debit Card,Mobile App,POS Terminal,Financial Services,CO,Approved,None,80,1,1
TXN00086033,CUST005720,MERCH00281,2024-10-22 11:41:02,64.22,Credit Card,Mobile App,Tablet,Fuel,AZ,Approved,None,521,0,0
TXN00087814,CUST006096,MERCH00358,2024-06-19 19:13:03,41.7,Credit Card,Online,POS Terminal,Grocery,CO,Approved,None,525,0,0
TXN00093692,CUST011677,MERCH00528,2024-08-04 11:21:15,21.81,Credit Card,In-Store,Desktop,Fuel,GA,Approved,None,336,0,0
TXN00098396,CUST004334,MERCH00574,2024-10-24 02:17:21,60.42,Digital Wallet,Online,POS Terminal,Entertainment,PA,Approved,None,467,0,0
TXN00053995,CUST001856,MERCH00603,2024-06-23 22:58:45,25.1,Credit Card,Online,POS Terminal,Retail,NY,Approved,None,156,1,0
TXN00063214,CUST005536,MERCH00098,2024-05-31 06:19:06,23.45,Debit Card,In-Store,Mobile,Healthcare,FL,Approved,None,217,0,0
TXN00018108,CUST000904,MERCH00340,2024-05-31 09:00:24,15.7,Credit Card,Online,POS Terminal,Restaurant,CA,Approved,None,597,0,0
TXN00046368,CUST001009,MERCH00497,2024-05-06 17:14:19,32.47,Digital Wallet,Online,Desktop,Electronics,PA,Approved,None,193,0,0
TXN00070116,CUST001509,MERCH00731,2024-02-21 01:02:30,28.7,Debit Card,Online,POS Terminal,Restaurant,CA,Approved,None,472,0,0
TXN00002496,CUST008342,MERCH00720,2024-04-23 13:13:14,103.15,Debit Card,Mobile App,Mobile,Retail,PA,Approved,None,250,0,0
TXN00055226,CUST003910,MERCH00627,2024-01-14 07:43:44,21.98,Digital Wallet,In-Store,POS Terminal,Restaurant,NY,Approved,None,475,0,0
TXN00021001,CUST002043,MERCH00655,2024-05-15 08:55:13,31.51,ACH,Online,Desktop,Retail,AZ,Approved,None,624,0,0
TXN00064291,CUST005687,MERCH00068,2024-03-30 00:11:19,23.24,Credit Card,In-Store,Mobile,Restaurant,,Approved,None,306,0,0
TXN00049155,CUST010505,MERCH00714,2024-04-26 10:24:33,19.81,Debit Card,Online,Desktop,Grocery,TX,Approved,None,233,0,0
TXN00036571,CUST006044,MERCH00352,2024-10-29 02:43:14,39.14,Debit Card,In-Store,POS Terminal,Travel,WA,Approved,None,546,0,0
TXN00015178,CUST002071,MERCH00634,2024-03-28 16:06:48,13.49,Credit Card,Online,Desktop,Grocery,GA,Approved,None,508,0,1
TXN00082237,CUST004365,MERCH00609,2024-10-21 13:32:21,108.57,Credit Card,In-Store,Desktop,Fuel,NY,Approved,None,469,0,0
TXN00030492,CUST004598,MERCH00420,2024-12-17 12:36:37,184.25,ACH,Online,POS Terminal,Fuel,CO,Approved,None,296,0,0
TXN00014821,CUST010735,MERCH00483,2024-08-11 18:10:32,56.16,Credit Card,Mobile App,Tablet,Grocery,PA,Approved,None,747,0,0
TXN00079034,CUST010267,MERCH00247,2024-01-18 05:38:24,86.58,Credit Card,Online,Desktop,Retail,PA,Approved,None,484,0,0
