transaction_date,total_transactions,total_payment_volume,approved_transactions,failed_transactions,fraud_transactions,chargeback_transactions,approval_rate_pct,failure_rate_pct,fraud_rate_pct,chargeback_rate_pct
2024-01-01,292,15451.57,273,19,10,7,93.49,6.51,3.42,2.4
2024-01-02,310,15379.98,282,28,13,5,90.97,9.03,4.19,1.61
2024-01-03,291,15673.37,277,14,8,1,95.19,4.81,2.75,0.34
2024-01-04,310,16732.58,285,25,17,4,91.94,8.06,5.48,1.29
2024-01-05,270,16071.18,248,22,10,5,91.85,8.15,3.7,1.85
2024-01-06,268,15217.91,245,23,14,5,91.42,8.58,5.22,1.87
2024-01-07,261,14365.29,242,19,16,8,92.72,7.28,6.13,3.07
2024-01-08,276,13695.13,254,22,14,5,92.03,7.97,5.07,1.81
2024-01-09,251,14156.11,229,22,10,7,91.24,8.76,3.98,2.79
2024-01-10,269,14449.85,236,33,10,5,87.73,12.27,3.72,1.86
2024-01-11,274,14524.55,253,21,13,12,92.34,7.66,4.74,4.38
2024-01-12,276,15400.15,256,20,5,2,92.75,7.25,1.81,0.72
2024-01-13,280,13641.64,256,24,14,4,91.43,8.57,5.0,1.43
2024-01-14,266,14980.47,245,21,9,3,92.11,7.89,3.38,1.13
2024-01-15,232,12089.41,214,18,11,2,92.24,7.76,4.74,0.86
2024-01-16,289,16758.34,273,16,13,6,94.46,5.54,4.5,2.08
2024-01-17,288,15462.06,274,14,9,6,95.14,4.86,3.13,2.08
2024-01-18,265,14155.2,241,24,10,4,90.94,9.06,3.77,1.51
2024-01-19,268,12084.07,250,18,13,7,93.28,6.72,4.85,2.61
2024-01-20,264,13158.89,240,24,11,5,90.91,9.09,4.17,1.89
2024-01-21,260,13923.87,242,18,6,4,93.08,6.92,2.31,1.54
2024-01-22,260,13960.62,242,18,12,4,93.08,6.92,4.62,1.54
2024-01-23,269,16057.37,248,21,11,3,92.19,7.81,4.09,1.12
2024-01-24,282,16286.15,259,23,10,3,91.84,8.16,3.55,1.06
2024-01-25,259,12395.34,235,24,12,6,90.73,9.27,4.63,2.32
2024-01-26,286,15905.0,269,17,11,7,94.06,5.94,3.85,2.45
2024-01-27,248,12544.44,230,18,16,6,92.74,7.26,6.45,2.42
2024-01-28,273,14503.64,249,24,11,5,91.21,8.79,4.03,1.83
2024-01-29,282,16350.77,263,19,10,2,93.26,6.74,3.55,0.71
2024-01-30,269,13378.26,240,29,11,4,89.22,10.78,4.09,1.49
2024-01-31,262,13321.93,242,20,14,11,92.37,7.63,5.34,4.2
2024-02-01,276,13525.28,244,32,4,1,88.41,11.59,1.45,0.36
2024-02-02,248,14429.67,233,15,11,4,93.95,6.05,4.44,1.61
2024-02-03,273,15577.89,257,16,18,5,94.14,5.86,6.59,1.83
2024-02-04,271,14381.1,255,16,8,8,94.1,5.9,2.95,2.95
2024-02-05,249,12854.17,236,13,12,3,94.78,5.22,4.82,1.2
2024-02-06,290,18493.74,268,22,7,1,92.41,7.59,2.41,0.34
2024-02-07,250,13088.56,229,21,11,3,91.6,8.4,4.4,1.2
2024-02-08,283,16523.31,261,22,11,3,92.23,7.77,3.89,1.06
2024-02-09,276,15334.56,251,25,13,3,90.94,9.06,4.71,1.09
2024-02-10,275,16560.61,261,14,11,1,94.91,5.09,4.0,0.36
2024-02-11,260,15726.74,248,12,16,7,95.38,4.62,6.15,2.69
2024-02-12,284,15756.04,260,24,15,7,91.55,8.45,5.28,2.46
2024-02-13,267,15175.22,250,17,7,6,93.63,6.37,2.62,2.25
2024-02-14,313,17992.88,297,16,12,6,94.89,5.11,3.83,1.92
2024-02-15,309,17182.66,284,25,13,8,91.91,8.09,4.21,2.59
2024-02-16,274,15708.95,247,27,8,4,90.15,9.85,2.92,1.46
2024-02-17,238,14138.53,215,23,12,3,90.34,9.66,5.04,1.26
2024-02-18,280,16229.4,266,14,16,5,95.0,5.0,5.71,1.79
2024-02-19,240,12113.25,223,17,7,3,92.92,7.08,2.92,1.25
2024-02-20,259,14240.3,240,19,15,5,92.66,7.34,5.79,1.93
2024-02-21,279,16970.63,260,19,11,4,93.19,6.81,3.94,1.43
2024-02-22,300,16253.3,282,18,13,3,94.0,6.0,4.33,1.0
2024-02-23,293,15060.8,271,22,8,6,92.49,7.51,2.73,2.05
2024-02-24,291,14466.1,265,26,8,8,91.07,8.93,2.75,2.75
2024-02-25,290,14878.9,265,25,13,10,91.38,8.62,4.48,3.45
2024-02-26,256,13600.25,241,15,6,5,94.14,5.86,2.34,1.95
2024-02-27,262,13793.65,249,13,12,4,95.04,4.96,4.58,1.53
2024-02-28,301,17207.03,279,22,13,7,92.69,7.31,4.32,2.33
2024-02-29,292,17506.62,266,26,13,5,91.1,8.9,4.45,1.71
2024-03-01,268,14861.89,246,22,10,7,91.79,8.21,3.73,2.61
2024-03-02,276,16057.23,257,19,10,6,93.12,6.88,3.62,2.17
2024-03-03,286,15980.18,273,13,8,7,95.45,4.55,2.8,2.45
2024-03-04,248,13097.2,230,18,8,5,92.74,7.26,3.23,2.02
2024-03-05,290,16374.0,270,20,8,6,93.1,6.9,2.76,2.07
2024-03-06,277,15816.82,257,20,11,6,92.78,7.22,3.97,2.17
2024-03-07,250,13184.48,228,22,12,3,91.2,8.8,4.8,1.2
2024-03-08,267,12851.84,253,14,15,2,94.76,5.24,5.62,0.75
2024-03-09,267,13177.01,252,15,10,5,94.38,5.62,3.75,1.87
2024-03-10,296,16678.71,270,26,13,9,91.22,8.78,4.39,3.04
2024-03-11,292,15491.48,270,22,15,6,92.47,7.53,5.14,2.05
2024-03-12,268,15800.55,249,19,13,7,92.91,7.09,4.85,2.61
2024-03-13,272,14889.9,255,17,13,3,93.75,6.25,4.78,1.1
2024-03-14,273,17924.6,246,27,11,6,90.11,9.89,4.03,2.2
2024-03-15,268,14494.21,247,21,9,4,92.16,7.84,3.36,1.49
2024-03-16,253,13578.75,229,24,12,4,90.51,9.49,4.74,1.58
2024-03-17,282,15527.82,249,33,7,2,88.3,11.7,2.48,0.71
2024-03-18,260,13394.46,233,27,12,2,89.62,10.38,4.62,0.77
2024-03-19,262,14371.53,245,17,8,8,93.51,6.49,3.05,3.05
2024-03-20,287,15651.31,261,26,13,5,90.94,9.06,4.53,1.74
2024-03-21,282,15977.78,261,21,9,9,92.55,7.45,3.19,3.19
2024-03-22,242,13895.13,219,23,7,5,90.5,9.5,2.89,2.07
2024-03-23,279,13973.51,261,18,14,2,93.55,6.45,5.02,0.72
2024-03-24,290,17087.89,267,23,5,7,92.07,7.93,1.72,2.41
2024-03-25,287,16391.08,263,24,10,6,91.64,8.36,3.48,2.09
2024-03-26,257,14955.5,238,19,14,7,92.61,7.39,5.45,2.72
2024-03-27,251,14880.06,241,10,8,8,96.02,3.98,3.19,3.19
2024-03-28,293,15511.27,274,19,8,12,93.52,6.48,2.73,4.1
2024-03-29,283,15749.82,258,25,12,6,91.17,8.83,4.24,2.12
2024-03-30,268,13534.29,256,12,10,3,95.52,4.48,3.73,1.12
2024-03-31,290,14874.67,270,20,12,4,93.1,6.9,4.14,1.38
2024-04-01,245,12250.89,220,25,6,2,89.8,10.2,2.45,0.82
2024-04-02,295,17636.4,280,15,15,6,94.92,5.08,5.08,2.03
2024-04-03,244,13242.87,221,23,10,7,90.57,9.43,4.1,2.87
2024-04-04,261,13771.72,241,20,8,4,92.34,7.66,3.07,1.53
2024-04-05,304,16215.74,284,20,13,6,93.42,6.58,4.28,1.97
2024-04-06,313,17774.96,286,27,7,4,91.37,8.63,2.24,1.28
2024-04-07,279,15914.67,262,17,9,6,93.91,6.09,3.23,2.15
2024-04-08,268,13615.11,258,10,11,6,96.27,3.73,4.1,2.24
2024-04-09,266,14188.07,233,33,11,6,87.59,12.41,4.14,2.26
2024-04-10,268,13796.34,243,25,8,3,90.67,9.33,2.99,1.12
2024-04-11,311,16824.96,292,19,8,5,93.89,6.11,2.57,1.61
2024-04-12,266,13606.28,247,19,10,7,92.86,7.14,3.76,2.63
2024-04-13,272,16344.56,247,25,9,4,90.81,9.19,3.31,1.47
2024-04-14,260,13503.82,235,25,10,1,90.38,9.62,3.85,0.38
2024-04-15,248,14763.45,226,22,6,5,91.13,8.87,2.42,2.02
2024-04-16,258,14049.78,246,12,14,4,95.35,4.65,5.43,1.55
2024-04-17,275,15000.98,251,24,12,3,91.27,8.73,4.36,1.09
2024-04-18,275,14905.27,243,32,16,1,88.36,11.64,5.82,0.36
2024-04-19,285,16645.43,268,17,12,4,94.04,5.96,4.21,1.4
2024-04-20,289,16072.23,268,21,11,2,92.73,7.27,3.81,0.69
2024-04-21,253,14421.71,231,22,10,7,91.3,8.7,3.95,2.77
2024-04-22,287,16162.8,262,25,10,5,91.29,8.71,3.48,1.74
2024-04-23,278,13985.59,254,24,16,2,91.37,8.63,5.76,0.72
2024-04-24,275,14260.64,250,25,17,3,90.91,9.09,6.18,1.09
2024-04-25,303,17531.72,271,32,8,4,89.44,10.56,2.64,1.32
2024-04-26,260,14053.64,241,19,12,3,92.69,7.31,4.62,1.15
2024-04-27,272,15757.92,243,29,18,9,89.34,10.66,6.62,3.31
2024-04-28,275,15481.06,256,19,8,8,93.09,6.91,2.91,2.91
2024-04-29,297,17086.7,265,32,15,3,89.23,10.77,5.05,1.01
2024-04-30,269,17567.17,245,24,14,4,91.08,8.92,5.2,1.49
2024-05-01,313,16065.81,291,22,8,6,92.97,7.03,2.56,1.92
2024-05-02,285,15414.93,261,24,12,1,91.58,8.42,4.21,0.35
2024-05-03,313,16666.35,284,29,16,2,90.73,9.27,5.11,0.64
2024-05-04,269,13846.93,246,23,9,1,91.45,8.55,3.35,0.37
2024-05-05,262,14015.41,240,22,11,4,91.6,8.4,4.2,1.53
2024-05-06,256,12964.24,240,16,10,4,93.75,6.25,3.91,1.56
2024-05-07,274,15976.6,262,12,12,5,95.62,4.38,4.38,1.82
2024-05-08,272,14550.71,248,24,12,8,91.18,8.82,4.41,2.94
2024-05-09,293,15007.98,268,25,8,7,91.47,8.53,2.73,2.39
2024-05-10,274,15798.02,256,18,14,8,93.43,6.57,5.11,2.92
2024-05-11,247,14284.51,225,22,10,8,91.09,8.91,4.05,3.24
2024-05-12,273,15979.35,242,31,14,6,88.64,11.36,5.13,2.2
2024-05-13,263,15173.74,246,17,11,2,93.54,6.46,4.18,0.76
2024-05-14,277,14042.83,257,20,11,7,92.78,7.22,3.97,2.53
2024-05-15,272,14479.88,255,17,7,3,93.75,6.25,2.57,1.1
2024-05-16,267,14103.1,239,28,11,3,89.51,10.49,4.12,1.12
2024-05-17,290,16682.01,275,15,15,10,94.83,5.17,5.17,3.45
2024-05-18,305,15271.06,284,21,17,8,93.11,6.89,5.57,2.62
2024-05-19,270,15598.23,250,20,11,3,92.59,7.41,4.07,1.11
