hour,total_transactions,failed_transactions,fraud_transactions,chargeback_transactions,failure_rate_pct,fraud_rate_pct,chargeback_rate_pct
0,4244,349,176,92,8.22,4.15,2.17
1,4259,345,162,73,8.1,3.8,1.71
2,4213,318,193,94,7.55,4.58,2.23
3,4186,299,196,89,7.14,4.68,2.13
4,4135,316,162,85,7.64,3.92,2.06
5,4073,314,155,82,7.71,3.81,2.01
6,4182,322,179,74,7.7,4.28,1.77
7,4124,321,171,84,7.78,4.15,2.04
8,4098,339,164,80,8.27,4.0,1.95
9,4296,334,157,93,7.77,3.65,2.16
10,4115,330,180,72,8.02,4.37,1.75
11,4165,300,154,78,7.2,3.7,1.87
12,4153,337,144,82,8.11,3.47,1.97
13,4252,358,164,107,8.42,3.86,2.52
14,4091,273,154,66,6.67,3.76,1.61
15,4140,297,174,66,7.17,4.2,1.59
16,4230,332,172,76,7.85,4.07,1.8
17,4125,305,167,71,7.39,4.05,1.72
18,4192,346,197,86,8.25,4.7,2.05
19,4218,291,154,72,6.9,3.65,1.71
20,4024,301,174,76,7.48,4.32,1.89
21,4191,341,153,68,8.14,3.65,1.62
22,4130,336,172,83,8.14,4.16,2.01
23,4164,286,173,83,6.87,4.15,1.99
