merchant_id,merchant_category,total_transactions,total_payment_volume,avg_transaction_amount,failed_transactions,fraud_transactions,chargeback_transactions,failure_rate_pct,fraud_rate_pct,chargeback_rate_pct,merchant_risk_level
MERCH00078,Restaurant,20,1386.51,69.33,2,4,3,10.0,20.0,15.0,High Risk
MERCH00354,Restaurant,20,1121.07,56.05,3,4,2,15.0,20.0,10.0,High Risk
MERCH00105,Restaurant,21,977.49,46.55,5,4,1,23.81,19.05,4.76,High Risk
MERCH00422,Retail,21,948.61,45.17,2,4,0,9.52,19.05,0.0,High Risk
MERCH00716,Retail,22,891.84,40.54,1,4,1,4.55,18.18,4.55,High Risk
MERCH00303,Grocery,23,1203.68,52.33,1,4,2,4.35,17.39,8.7,High Risk
MERCH00360,Retail,24,1059.44,44.14,1,4,0,4.17,16.67,0.0,High Risk
MERCH00232,Retail,24,1110.0,46.25,3,4,0,12.5,16.67,0.0,High Risk
MERCH00316,Restaurant,20,1130.43,56.52,1,3,3,5.0,15.0,15.0,High Risk
MERCH00307,Grocery,20,1366.8,68.34,2,3,2,10.0,15.0,10.0,High Risk
MERCH00623,Restaurant,20,1071.39,53.57,2,3,1,10.0,15.0,5.0,High Risk
MERCH00469,Retail,20,1614.84,80.74,2,3,1,10.0,15.0,5.0,High Risk
MERCH00385,Retail,20,1012.12,50.61,1,3,1,5.0,15.0,5.0,High Risk
MERCH00446,Restaurant,20,870.09,43.5,3,3,0,15.0,15.0,0.0,High Risk
MERCH00445,Restaurant,20,1110.82,55.54,0,3,0,0.0,15.0,0.0,High Risk
MERCH00165,Retail,27,1240.84,45.96,2,4,1,7.41,14.81,3.7,High Risk
MERCH00654,Grocery,21,794.36,37.83,2,3,3,9.52,14.29,14.29,High Risk
MERCH00696,Grocery,21,1240.89,59.09,1,3,1,4.76,14.29,4.76,High Risk
MERCH00513,Retail,21,973.1,46.34,0,3,1,0.0,14.29,4.76,High Risk
MERCH00469,Restaurant,21,1247.12,59.39,1,3,1,4.76,14.29,4.76,High Risk
MERCH00226,Retail,21,1355.61,64.55,2,3,1,9.52,14.29,4.76,High Risk
MERCH00313,Restaurant,21,844.82,40.23,1,3,0,4.76,14.29,0.0,High Risk
MERCH00580,Restaurant,22,1159.31,52.7,0,3,1,0.0,13.64,4.55,High Risk
MERCH00409,Restaurant,22,998.83,45.4,3,3,1,13.64,13.64,4.55,High Risk
MERCH00159,Restaurant,22,1552.59,70.57,1,3,1,4.55,13.64,4.55,High Risk
MERCH00773,Grocery,22,1137.02,51.68,2,3,0,9.09,13.64,0.0,High Risk
MERCH00396,Retail,22,1265.58,57.53,1,3,0,4.55,13.64,0.0,High Risk
MERCH00318,Retail,22,1052.9,47.86,3,3,0,13.64,13.64,0.0,High Risk
MERCH00250,Retail,30,1910.63,63.69,5,4,1,16.67,13.33,3.33,High Risk
MERCH00513,Grocery,23,1305.32,56.75,2,3,4,8.7,13.04,17.39,High Risk
MERCH00231,Retail,23,1067.77,46.42,1,3,1,4.35,13.04,4.35,High Risk
MERCH00071,Retail,23,823.74,35.81,3,3,1,13.04,13.04,4.35,High Risk
MERCH00063,Retail,23,901.01,39.17,3,3,1,13.04,13.04,4.35,High Risk
MERCH00426,Restaurant,31,1845.48,59.53,3,4,0,9.68,12.9,0.0,High Risk
MERCH00295,Grocery,24,1346.52,56.1,2,3,2,8.33,12.5,8.33,High Risk
MERCH00627,Retail,24,1310.0,54.58,0,3,0,0.0,12.5,0.0,High Risk
MERCH00025,Restaurant,24,1181.07,49.21,2,3,0,8.33,12.5,0.0,High Risk
MERCH00520,Grocery,25,1468.98,58.76,1,3,2,4.0,12.0,8.0,High Risk
MERCH00643,Retail,25,1456.06,58.24,2,3,1,8.0,12.0,4.0,High Risk
MERCH00506,Restaurant,25,1134.51,45.38,3,3,1,12.0,12.0,4.0,High Risk
MERCH00702,Restaurant,25,853.41,34.14,0,3,0,0.0,12.0,0.0,High Risk
MERCH00566,Retail,25,1032.71,41.31,2,3,0,8.0,12.0,0.0,High Risk
MERCH00253,Grocery,25,1745.36,69.81,2,3,0,8.0,12.0,0.0,High Risk
MERCH00649,Retail,26,1164.33,44.78,3,3,0,11.54,11.54,0.0,High Risk
MERCH00642,Retail,26,1522.28,58.55,4,3,0,15.38,11.54,0.0,High Risk
MERCH00437,Retail,26,1745.03,67.12,3,3,0,11.54,11.54,0.0,High Risk
MERCH00372,Retail,27,1482.98,54.93,3,3,2,11.11,11.11,7.41,High Risk
MERCH00483,Restaurant,27,1325.38,49.09,1,3,1,3.7,11.11,3.7,High Risk
MERCH00781,Retail,28,2018.15,72.08,1,3,0,3.57,10.71,0.0,High Risk
MERCH00365,Retail,29,1915.4,66.05,1,3,4,3.45,10.34,13.79,High Risk
MERCH00123,Retail,29,1256.47,43.33,1,3,1,3.45,10.34,3.45,High Risk
MERCH00280,Retail,29,1092.02,37.66,3,3,0,10.34,10.34,0.0,High Risk
MERCH00134,Retail,29,1627.38,56.12,3,3,0,10.34,10.34,0.0,High Risk
MERCH00040,Retail,20,828.66,41.43,1,2,3,5.0,10.0,15.0,High Risk
MERCH00686,Restaurant,20,1636.6,81.83,2,2,2,10.0,10.0,10.0,High Risk
MERCH00086,Restaurant,20,853.1,42.66,3,2,2,15.0,10.0,10.0,High Risk
MERCH00464,Retail,30,1418.38,47.28,2,3,2,6.67,10.0,6.67,High Risk
MERCH00393,Restaurant,30,1843.89,61.46,1,3,2,3.33,10.0,6.67,High Risk
MERCH00638,Restaurant,20,808.0,40.4,0,2,1,0.0,10.0,5.0,High Risk
MERCH00594,Retail,20,1185.45,59.27,2,2,1,10.0,10.0,5.0,High Risk
MERCH00209,Grocery,20,984.95,49.25,1,2,1,5.0,10.0,5.0,High Risk
MERCH00202,Grocery,20,668.68,33.43,4,2,1,20.0,10.0,5.0,High Risk
MERCH00144,Grocery,20,1230.4,61.52,0,2,1,0.0,10.0,5.0,High Risk
MERCH00635,Retail,30,1454.91,48.5,0,3,1,0.0,10.0,3.33,High Risk
MERCH00720,Grocery,20,805.72,40.29,2,2,0,10.0,10.0,0.0,High Risk
MERCH00615,Grocery,20,1081.21,54.06,2,2,0,10.0,10.0,0.0,High Risk
MERCH00585,Retail,20,1824.51,91.23,2,2,0,10.0,10.0,0.0,High Risk
MERCH00548,Grocery,20,1248.4,62.42,0,2,0,0.0,10.0,0.0,High Risk
MERCH00511,Retail,20,964.77,48.24,0,2,0,0.0,10.0,0.0,High Risk
MERCH00503,Grocery,20,1044.59,52.23,0,2,0,0.0,10.0,0.0,High Risk
MERCH00490,Restaurant,20,1661.16,83.06,5,2,0,25.0,10.0,0.0,High Risk
MERCH00392,Retail,30,1795.74,59.86,1,3,0,3.33,10.0,0.0,High Risk
MERCH00357,Retail,20,869.92,43.5,2,2,0,10.0,10.0,0.0,High Risk
MERCH00303,Restaurant,20,1184.66,59.23,1,2,0,5.0,10.0,0.0,High Risk
MERCH00261,Retail,20,1333.21,66.66,3,2,0,15.0,10.0,0.0,High Risk
MERCH00227,Retail,20,1118.88,55.94,4,2,0,20.0,10.0,0.0,High Risk
MERCH00212,Restaurant,20,1162.29,58.11,3,2,0,15.0,10.0,0.0,High Risk
MERCH00115,Restaurant,20,1168.73,58.44,0,2,0,0.0,10.0,0.0,High Risk
MERCH00258,Grocery,21,1056.42,50.31,1,2,2,4.76,9.52,9.52,High Risk
MERCH00081,Restaurant,21,2888.75,137.56,0,2,2,0.0,9.52,9.52,High Risk
MERCH00710,Grocery,21,1080.71,51.46,5,2,1,23.81,9.52,4.76,High Risk
MERCH00568,Restaurant,21,1110.54,52.88,4,2,1,19.05,9.52,4.76,High Risk
MERCH00535,Restaurant,21,985.83,46.94,3,2,1,14.29,9.52,4.76,High Risk
MERCH00424,Retail,21,823.08,39.19,0,2,1,0.0,9.52,4.76,High Risk
MERCH00393,Retail,21,1090.95,51.95,0,2,1,0.0,9.52,4.76,High Risk
MERCH00305,Grocery,21,1137.43,54.16,2,2,1,9.52,9.52,4.76,High Risk
MERCH00102,Grocery,21,1156.42,55.07,0,2,1,0.0,9.52,4.76,High Risk
MERCH00084,Retail,21,1000.27,47.63,2,2,1,9.52,9.52,4.76,High Risk
MERCH00692,Retail,21,1168.76,55.66,1,2,0,4.76,9.52,0.0,High Risk
MERCH00659,Grocery,21,1092.17,52.01,0,2,0,0.0,9.52,0.0,High Risk
MERCH00534,Grocery,21,1781.67,84.84,2,2,0,9.52,9.52,0.0,High Risk
MERCH00498,Retail,21,1940.91,92.42,1,2,0,4.76,9.52,0.0,High Risk
MERCH00495,Restaurant,21,1333.73,63.51,3,2,0,14.29,9.52,0.0,High Risk
MERCH00419,Restaurant,21,906.45,43.16,2,2,0,9.52,9.52,0.0,High Risk
MERCH00315,Restaurant,21,1438.54,68.5,3,2,0,14.29,9.52,0.0,High Risk
MERCH00284,Grocery,21,1017.67,48.46,1,2,0,4.76,9.52,0.0,High Risk
MERCH00228,Grocery,21,1846.68,87.94,1,2,0,4.76,9.52,0.0,High Risk
MERCH00130,Grocery,21,1334.86,63.56,1,2,0,4.76,9.52,0.0,High Risk
MERCH00398,Retail,32,1171.55,36.61,4,3,1,12.5,9.38,3.13,High Risk
