customer_location,total_transactions,total_payment_volume,failure_rate_pct,fraud_rate_pct,chargeback_rate_pct
NV,6785,370418.59,8.71,5.08,1.99
NY,6701,365514.8,9.54,4.94,2.0
Unknown,350,18265.7,9.14,4.86,1.71
FL,6677,365523.34,9.15,4.76,1.92
WA,6424,355071.85,7.32,4.09,1.74
TX,6657,363043.46,7.09,3.98,2.01
NC,6606,358644.51,7.4,3.95,1.83
OR,6593,363934.73,7.2,3.93,1.9
IL,6667,359739.37,7.62,3.91,2.05
CO,6737,375326.88,7.7,3.9,1.96
PA,6672,361390.86,6.95,3.73,1.87
MA,6660,367071.64,7.21,3.72,1.89
AZ,6647,365610.69,7.45,3.72,2.24
OH,6632,362062.63,7.36,3.71,1.7
GA,6507,357482.29,7.28,3.67,1.94
CA,6685,373721.56,7.23,3.52,1.93
