transaction_id,customer_id,merchant_id,transaction_amount,payment_method,channel,merchant_category,customer_location,transaction_status,is_fraud,is_chargeback,risk_score,risk_level,risk_reason
TXN00092525,CUST000752,MERCH00298,49.95,Credit Card,Mobile App,Electronics,FL,Approved,1,1,109,Critical Risk,"Fraud indicator, Chargeback, Slow processor response, Mobile channel, High-risk merchant category, High-risk location"
TXN00078379,CUST006288,MERCH00328,94.93,Digital Wallet,Online,Electronics,NV,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00044053,CUST001390,MERCH00427,74.54,Credit Card,Online,Financial Services,NV,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00006684,CUST009928,MERCH00581,44.32,Credit Card,Online,Travel,FL,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00080606,CUST005385,MERCH00454,37.55,Debit Card,Online,Travel,NY,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00007627,CUST010108,MERCH00060,16.25,Digital Wallet,Online,Travel,FL,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00047101,CUST008049,MERCH00104,10.16,Digital Wallet,Online,Travel,NV,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00050817,CUST006805,MERCH00673,38.33,Debit Card,Online,Financial Services,NY,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00044987,CUST008653,MERCH00092,86.58,Digital Wallet,Online,Financial Services,NV,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00097806,CUST007602,MERCH00337,25.55,Credit Card,Online,Financial Services,NV,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00072008,CUST002615,MERCH00310,65.07,ACH,Online,Electronics,FL,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00016359,CUST008578,MERCH00331,33.01,Credit Card,Online,Electronics,FL,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00080569,CUST010776,MERCH00063,51.39,Debit Card,Online,Electronics,FL,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00066838,CUST001167,MERCH00736,188.13,Debit Card,Online,Travel,NY,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00017880,CUST002423,MERCH00293,41.01,Credit Card,Online,Financial Services,FL,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00058936,CUST009976,MERCH00302,36.45,Credit Card,Online,Travel,NY,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00067239,CUST011848,MERCH00597,44.16,ACH,Online,Electronics,NY,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00077035,CUST009113,MERCH00252,110.37,Credit Card,Online,Travel,NY,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00096647,CUST011300,MERCH00521,25.79,Digital Wallet,Online,Financial Services,FL,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00025659,CUST003427,MERCH00489,46.58,Credit Card,Online,Travel,FL,Approved,1,1,103,Critical Risk,"Fraud indicator, Chargeback, Online channel, High-risk merchant category, High-risk location"
TXN00036222,CUST010039,MERCH00310,22.52,Digital Wallet,Mobile App,Travel,NY,Approved,1,1,99,Critical Risk,"Fraud indicator, Chargeback, Mobile channel, High-risk merchant category, High-risk location"
TXN00065945,CUST011321,MERCH00141,5.37,Digital Wallet,Mobile App,Financial Services,NV,Approved,1,1,99,Critical Risk,"Fraud indicator, Chargeback, Mobile channel, High-risk merchant category, High-risk location"
TXN00007361,CUST008667,MERCH00224,73.91,Debit Card,Mobile App,Electronics,NY,Approved,1,1,99,Critical Risk,"Fraud indicator, Chargeback, Mobile channel, High-risk merchant category, High-risk location"
TXN00059021,CUST004071,MERCH00177,52.5,Credit Card,Mobile App,Financial Services,FL,Approved,1,1,99,Critical Risk,"Fraud indicator, Chargeback, Mobile channel, High-risk merchant category, High-risk location"
TXN00045915,CUST003920,MERCH00225,4.08,Credit Card,Mobile App,Financial Services,NY,Approved,1,1,99,Critical Risk,"Fraud indicator, Chargeback, Mobile channel, High-risk merchant category, High-risk location"
